"geo_vt","geo_ward","geo_ehovill","xy"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701501","","MMR003001701501"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701502","","MMR003001701502"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701508","","MMR003001701508"
"","MMR003001701508","","MMR003001701508"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003005701503","","MMR003005701503"
"","MMR003002701502","","MMR003002701502"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003005701503","","MMR003005701503"
"","MMR003002701502","","MMR003002701502"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"","MMR003005701503","","MMR003005701503"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"","MMR003002701502","","MMR003002701502"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"MMR003001090","","","MMR003001090"
"","MMR003002701502","","MMR003002701502"
"MMR003002034","","","MMR003002034"
"","MMR003005701502","","MMR003005701502"
"MMR003002034","","","MMR003002034"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701502","","MMR003005701502"
"MMR003002034","","","MMR003002034"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701502","","MMR003005701502"
"MMR003002034","","","MMR003002034"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701502","","MMR003005701502"
"MMR003002034","","","MMR003002034"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701502","","MMR003005701502"
"MMR003002034","","","MMR003002034"
"MMR003002034","","","MMR003002034"
"MMR003002034","","","MMR003002034"
"MMR003002034","","","MMR003002034"
"MMR003002034","","","MMR003002034"
"MMR003002034","","","MMR003002034"
"","MMR003001701506","","MMR003001701506"
"","MMR003001701506","","MMR003001701506"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701503","","MMR003005701503"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701502","","MMR003005701502"
"","MMR003005701504","","MMR003005701504"
"","MMR003005701504","","MMR003005701504"
"","MMR003005701504","","MMR003005701504"
"MMR003002034","","","MMR003002034"
"","MMR003005701504","","MMR003005701504"
"MMR003002034","","","MMR003002034"
"MMR003002034","","","MMR003002034"
"","MMR003005701504","","MMR003005701504"
"","MMR003005701504","","MMR003005701504"
"","MMR003005701504","","MMR003005701504"
"","MMR003005701504","","MMR003005701504"
"MMR003002040","","","MMR003002040"
"MMR003002040","","","MMR003002040"
"","MMR003005701504","","MMR003005701504"
"MMR003002040","","","MMR003002040"
"","MMR003005701504","","MMR003005701504"
"MMR003002040","","","MMR003002040"
"MMR003002040","","","MMR003002040"
"MMR003002040","","","MMR003002040"
"MMR003002040","","","MMR003002040"
"MMR003002040","","","MMR003002040"
"MMR003001074","","","MMR003001074"
"MMR003001074","","","MMR003001074"
