"variable","question","choices"
"women_pos",NA,""
"women_id_pregnow",NA,""
"women_study_id_pregnow",NA,""
"ancnow_gestmonth","What is your gestation age in months?",""
"ancnow_yn","During your current pregnancy, did you attend antenatal care sessions?","1=Yes; 0=No"
"ancnow_who","In the antenatal care sessions that you attended, whom did you see?","1=Specialist; 2=Doctor; 3=Nurse; 4=Health assistant; 5=Private doctor; 6=LHV; 7=Midwife; 8=AMW; 9=TBA; 10=Community Health Worker; 11=Ethnic health worker; 888=Other (specify):"
"ancnow_who_oth","Others Specify",""
"ancnow_spelist_where","Where did you receive care from the specialist?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_spelist_where_oth","Others Specify",""
"ancnow_spelist_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_spelist_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_spelist_visit","How many antenatal care sessions have you attended?",""
"ancnow_spelist_1tri_times","Number of visits in First Trimester",""
"ancnow_spelist_2tri_times","Number of visits in Second Trimester",""
"ancnow_spelist_3tri_times","Number of visits in Third Trimester",""
"ancnow_doc_where","Where did you receive care from the Doctors?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_doc_where_oth","Others Specify",""
"ancnow_doc_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_doc_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_doc_visit","How many antenatal care sessions have you attended?",""
"ancnow_doc_1tri_times","Number of visits in First Trimester",""
"ancnow_doc_2tri_times","Number of visits in Second Trimester",""
"ancnow_doc_3tri_times","Number of visits in Third Trimester",""
"ancnow_nurs_where","Where did you receive care from the Nurse?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_nurs_where_oth","Others Specify",""
"ancnow_nurs_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_nurs_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_nurs_visit","How many antenatal care sessions have you attended?",""
"ancnow_nurs_1tri_times","Number of visits in First Trimester",""
"ancnow_nurs_2tri_times","Number of visits in Second Trimester",""
"ancnow_nurs_3tri_times","Number of visits in Third Trimester",""
"ancnow_ha_where","Where did you receive care from the Health Assistant?","1=Home; 2=Government hospital; 3=Private doctor/clinic; 4=SRHC-RHC; 5=Routine ANC place within village/ward; 6=EHO Clinic; 888=Other (specify)"
"ancnow_ha_where_oth","Others Specify",""
"ancnow_ha_dist_dry","How long does it take you to get to this place where you receive antenatal care sessions during the dry season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_ha_dist_wet","How long does it take you to get to this place where you receive antenatal care sessions during the rainy season?","1=< 15 minutes; 2=15 minutes to 1 hour; 3=1 hour to 2 hours; 4=2 hours to 6 hours; 5=6 hours to 12 hours; 6=12 hours to 24 hours; 7=> 24 hours"
"ancnow_ha_visit","How many antenatal care sessions have you attended?",""
"ancnow_ha_1tri_times","Number of visits in First Trimester",""
"ancnow_ha_2tri_times","Number of visits in Second Trimester",""
"ancnow_ha_3tri_times","Number of visits in Third Trimester",""
