"variable","question","choices"
"starttime","Survey start time",""
"endtime","Survey end time",""
"deviceid","Device unique identifier",""
"subscriberid","Subscriber unique identifier",""
"simid","SIM unique identifier",""
"devicephonenum","Device phone number",""
"geo_state","0.2.State Name","sr_pcode=state_region"
"geo_town","0.3.Township Name","ts_pcode=township"
"geo_rural","Data collection area?","1=Urban; 0=Rural; 2=EHO"
"geo_ehovill","Village name","ehokayinvill_1=Ka Mar Hta; ehokayinvill_2=Pee Thu Hta; ehokayinvill_3=Hpar Khay Khee; ehokayinvill_4=Mae La; ehokayinvill_5=Kwee Lay; ehokayinvill_6=Pa Lan Taw; ehokayinvill_7=Klaw Hta; ehokayinvill_8=Maw Baw Khee; ehokayinvill_9=Hla Kyoe Koh; ehokayinvill_10=Ka Mar Gone; ehokayinvill_11=Kwee Maw Tal; ehokayinvill_12=Tha Main Dout; ehokayinvill_13=Kaw Ka Le; ehokayinvill_14=Kaw Kyaw Ni; ehokayinvill_15=BGF Gone; ehokayinvill_16=Kasal Poe Kler; ehokayinvill_17=Kwee Taw Thu; ehokayinvill_18=Kyane Chaung Pyar; ehokayinvill_19=Htee Mel Baw; ehokayinvill_20=Mi Tan Chaung Phyar; ehokayinvill_21=Ha Chay Gyi; ehokayinvill_22=Nal Ka Law; ehokayinvill_23=Kyay Phar Lae; ehokayinvill_24=Mal Ka Tho; ehokayinvill_25=Gone Ma Lay; ehokayinvill_26=Hta Lawt; ehokayinvill_27=Pwint Lin Aye Myaing; ehokayinvill_28=Tar Oo Hta; ehokayinvill_29=Wah Klu Pu; ehokayinvill_30=Thay Nyar oo par; 8881=other village (specify); 8882=other village (specify); 8883=other village (specify); 8884=other village (specify); 8885=other village (specify); 8886=other village (specify); 8887=other village (specify); ehokayahvill_1=Thay Ka Law Kho; ehokayahvill_2=Ka To Kee; ehokayahvill_3=Hoo Mu Glar; ehokayahvill_4=Bu Ko; ehokayahvill_5=Kwar Kee; ehokayahvill_6=Kaw Kha Daw Kho; ehokayahvill_7=Ka Wall Soe; ehokayahvill_8=Pa Hooe; ehokayahvill_9=Gay Gaw Bo; ehokayahvill_10=Daw Sel Khu; ehokayahvill_11=Kho Tho; ehokayahvill_12=Ta Law Zar/ Jar La Gwar; ehokayahvill_13=Do Moh Saw; ehokayahvill_14=Kee Lo Pra; ehokayahvill_15=Pa Lay Lar; ehokayahvill_16=Yaw Du; ehokayahvill_17=Htee War Kaw; ehokayahvill_18=Phar Wel; ehokayahvill_19=Caw Pra; ehokayahvill_20=Kha Raw; ehokayahvill_21=Nar Kwee Khu; ehokayahvill_22=Plo Day Kho; ehokayahvill_23=Taw Khu; ehokayahvill_24=Kay Kee; ehokayahvill_25=Tho Thi Poe; ehokayahvill_26=Tin Lwe; ehokayahvill_27=Nan Aung Lay; ehokayahvill_28=Su Pel Law; ehokayahvill_29=Thiridah; ehokayahvill_30=Tay Lae; 8888=other village (specify); 8889=other village (specify); 8890=other village (specify); 8891=other village (specify); 8892=other village (specify); 8893=other village (specify); 8894=other village (specify)"
"geo_ehovill_oth","Please specify Village name",""
"geo_ward","Ward Name","MMR003002701502=(Kha Gway) Ward; MMR003001701501=Tharyet Taw/Myaing Tha Zin/ Kyar Inn Ward; MMR003001701502=Zay Tan Ward; MMR003001701504=Zee Taw Ward; MMR003001701505=Aung Nan Min Ga Lar Ward; MMR003001701506=Pyi Htaung Su Ward; MMR003001701508=Ya Da Nar Di Pa Ward; MMR003006701502=Win Gyi Ward; MMR003006701504=Ah Htet Taung Thu Su Ward; MMR003006701507=Ta Dar U Ward; MMR003006702502=No (2) Ward - Kyon Doe; MMR003007701501=No (1) Ward (W)Kyar; MMR003005701502=Ah Lel Paing Ward; MMR003005701503=Kyan Khin Su Ward; MMR003005701504=Myanmar Su Ward; MMR003005701505=Ah Nauk Paing Ward; MMR003004701501=No (1)(W)Tdg; MMR002005701502=Shan Paing Ward; MMR002002701501=Dimawso Myo Ma Ward; MMR002001701501=Naung Yar(Ka) Ward; MMR002001701502=Naung Yar (Kha) Ward; MMR002001701503=Daw Au Khu Ward; MMR002001701504=Maing Lone Ward; MMR002001701505=Min Ga Lar Ward; MMR002001701506=Dhammar Yon Ward; MMR002001701507=Zay Paing Ward; MMR002001701508=Shwe Taung Ward; MMR002001701509=Law Da Ma Ward; MMR002001701510=Daw Tan Ma Ward; MMR002001701511=Daw Noe Ku Ward; MMR002001701512=Shan Su Ward; MMR002001701513=Min Su Ward; MMR002007701501=Myauk Paing Ward; MMR002007701502=Taung Paing Ward; MMR002006701501=Myauk Paing Ward; MMR002006701502=Taung Paing Ward; MMR002003701501=Nyaung Zin Ward; MMR002003701502=Htee Ta Ye Ward; MMR002003701503=Htee Ku So Ward; MMR002003701504=Dee Dar Ku Ward; MMR002004701502=Zay Paing Ward"
