sr_pcode,state_region,ts_pcode,township,vt_pcode,village_tract,village_pcode,village,village_mya_mmr3
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002010,Ah Htet Yae Pu,169395,Ah Htet Yae Pu,အထက်ရေပူ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002010,Ah Htet Yae Pu,169397,Hti Thaw Khe Khee,ထီသောခယ်ခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002010,Ah Htet Yae Pu,169396,Shwe Aung,ရွှေအောင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169398,Auk Yae Pu,အောက်ရေပူ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169404,Hpa Yar Kone,ဘုရားကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169400,Ko Tar Hoe,ကိုတာဟိုး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169399,Ko Thet Wai,ကိုသက်ဝေ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169402,Kyaung Yae Pu,ကျောင်းရေပူ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169405,Mee Thway Hpo,မီးသွေးဖို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169401,Pyin Ka Toe Kone,ပျဉ်းကတိုးကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169403,Taung Tha Yet Kone,တောင်သရက်ကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002011,Auk Yae Pu,169406,Ywar Thit,ရွာသစ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002057,Bi Sa Kat,169622,Bi Sa Kat Taung Sun,ဘီစကတ်တောင်စွန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002057,Bi Sa Kat,169624,Gan Eik,ဂန်အိပ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002057,Bi Sa Kat,169623,Naung Bo,နောင်ဘို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002057,Bi Sa Kat,169625,Taik Kyaung Naung Bo,တိုက်ကျောင်းနောင်ဘို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002008,Daing Pya,169385,Daing Pya Kan Nar,ဒိုင်းပြကမ်းနား
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002008,Daing Pya,169386,Daing Pya Kone,ဒိုင်းပြကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002008,Daing Pya,169387,Ko Aeit Thei,ကိုဧည့်သည်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002054,Daw Lan,169602,Ah Lel Ywar,အလယ်ရွာ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002054,Daw Lan,169603,Auk Daw Lan,အောက်ဒေါ်လမ်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002054,Daw Lan,169601,Daw Lan,ဒေါ်လမ်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002054,Daw Lan,169604,Htein Kyun,ထိန်ကျွန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002054,Daw Lan,169606,Kawt Khan,ကော့ခမ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002054,Daw Lan,169605,Kun Hpaw,ကွမ်ဖော်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002043,Hta Thein Kyoe Waing,169553,Hta Thein Kyoe Waing,ထသိန်ကြိုးဝိုင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002063,Htan Ta Pin,169658,Htan Ta Pin,ထန်းတပင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002063,Htan Ta Pin,169660,Kawt Hta Ye,ကော့ထရဲ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002063,Htan Ta Pin,169661,Me Tha Pon,မဲသပုံ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002063,Htan Ta Pin,169659,Yar Khi Baung,ယာခိဘောင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169633,Htee Kaing Kaung,ထီးကိုင်ကောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169631,Hti Hpoe Kein,ထီဖိုးကိန်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169637,Kan Ka Lay,ကန်းကလေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169632,Kyon Ma Ti,ကျုံမတီ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169635,Naung Kha Yaing,နောင်ခရိုင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169634,Paw Lauk,ပေါလောက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169638,Ta Nyin Kone,တညင်းကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002059,Hti Hpoe Kein,169636,Ywar Thit,ရွာသစ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002012,Hti Lon,169409,Da Nyin Kone,ဒညင်းကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002012,Hti Lon,169407,Hti Lon,ထီလုံ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002012,Hti Lon,169410,Ku Lar Kone,ကုလားကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002012,Hti Lon,169408,Myay Ni Kone,မြေနီကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002034,Inn No Theik Pan,169520,Htaw Ywe,ထော်ရွဲ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002034,Inn No Theik Pan,169521,Htaw Ywe Kan Nar,ထော်ရွဲကမ်းနား
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002034,Inn No Theik Pan,169519,Inn No,အင်းနို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002034,Inn No Theik Pan,169522,Kyun Taw,ကျွန်းတော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002034,Inn No Theik Pan,169523,Sein Tar,စိန္တာ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002001,Ka Mawt Ka Chu,169358,Hpar Pun,ဖာပွန်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002001,Ka Mawt Ka Chu,169353,Ka Mawt Ka Chu,ကမော့ကချူး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002001,Ka Mawt Ka Chu,169354,Kawt Wun,ကော့ဝန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002001,Ka Mawt Ka Chu,169356,Me Laung Lay,မဲလောင်းလေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002001,Ka Mawt Ka Chu,169355,Taung Chay Yin,တောင်ခြေရင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002001,Ka Mawt Ka Chu,169357,Thone Ein Su,သုံးအိမ်စု
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002028,Ka Mawt Le (Kyaung),169489,Ka Mawt Le (Kyaung),ကမော့လဲ (ကျောင်း)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002028,Ka Mawt Le (Kyaung),169490,Taung Sun,တောင်စွန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002030,Ka Mawt Le (Ma Ae) (Ah Lel),169501,Ka Mawt Le Kan Nar,ကမော့လဲကမ်းနား
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002030,Ka Mawt Le (Ma Ae) (Ah Lel),169503,Kawt Ka Rit Kyun,ကော့ကရစ်ကျွန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002030,Ka Mawt Le (Ma Ae) (Ah Lel),169500,Ma Ae,မအဲ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002030,Ka Mawt Le (Ma Ae) (Ah Lel),169502,War Khoke Taw,ဝါးခုတ်တော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002044,Ka So,169559,Hnget Pyaw Taw,ငှက်ပျောတော
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002044,Ka So,169555,Hta Mar Kho,ထမာခို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002044,Ka So,169556,Ka Mar Kho Kone,ကမာခိုကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002044,Ka So,169554,Ka So,ကစို
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002044,Ka So,169557,Win Ka Mawt,ဝင်းကမော့
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002044,Ka So,169558,Ya Thayt Kone,ရသေ့ကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002017,Ka Ti Kan,169426,Hlaing Kawt Hpyar,လှိုင်ကော့ဖျာ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002017,Ka Ti Kan,169425,Ka Ti Kan,ကတီကံ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002002,Kawt Hlaing,169359,Kawt Hlaing,ကော့လှိုင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002002,Kawt Hlaing,169360,Ma Yan Au Kone,မရမ်းအူကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002002,Kawt Hlaing,169361,Ma Yan Au Kwin,မရမ်းအူကွင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002053,Kawt Ma Yaing,169600,Hla Ka Man,လှကမန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002053,Kawt Ma Yaing,169597,Kawt Ma Yaing,ကော့မရိုင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002053,Kawt Ma Yaing,169598,Kyaik Paung,ကျိုက်ပေါင်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002053,Kawt Ma Yaing,169599,Kyein Kyun,ကြိမ်ကျွန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002018,Kawt Myat Gyi,169428,Ka Ti Kan (Lower),ကတီကံ (အောက်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002018,Kawt Myat Gyi,169427,Kawt Myat Gyi,ကော့မြတ်ကြီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002018,Kawt Myat Gyi,169429,Kyaung Kone,ကျောင်းကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002018,Kawt Myat Gyi,169430,Naung La Maung,နောင်လမောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002050,Kawt Nwet,169586,Ka Zaing,ကဇိုင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002050,Kawt Nwet,169585,Kawt Nwet,​ကော့နွဲ့
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002050,Kawt Nwet,169587,Kyon Ka Dun,ကျုံကဒွန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002050,Kawt Nwet,169588,Ywar Haung,ရွာဟောင်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002050,Kawt Nwet,169589,Ywar Thit,ရွာသစ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002052,Kawt Pa Mut,169593,Kawt Hpa Mut,ကော့ဖမွတ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002052,Kawt Pa Mut,169595,Kawt Ka Swei,ကော့ကစွယ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002052,Kawt Pa Mut,169596,Taung Ka Lay,တောင်ကလေး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002052,Kawt Pa Mut,169594,Thar Yar Kone,သာယာကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169510,Kawt Sein (Middle),ကော့စိန် (အလယ်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169509,Kawt Sein (Upper),ကော့စိန် (အထက်)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169511,Kawt Sein Chaung Wa,ကော့စိန်ချောင်းဝ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169513,Kha Yan Kyut,ခရမ်းကျွတ်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169508,Ko Maung (Shan Su),ကိုမောင် (ရှမ်းစု)
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169512,Kyun Mee,ကျွန်းမီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002032,Ko Maung,169514,Shwe Kyaw,ရွှေကျော်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002005,Kun Bi,169372,Kun Bi,ကွမ်ဘီ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002005,Kun Bi,169373,Me Thein Ywar,မဲသိမ်ရွာ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169381,Htee Hpoe Khee,ထီးဖိုးခီး
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169383,Ka Bar Ni,ကမ္ဘားနီ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169376,Kun Tar,ကွမ်တာ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169380,Kun Tar Kone,ကွမ်တာကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169379,Kyun Kone,ကျွန်းကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169382,La War,လဝါ
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169378,Pu Tein Kone,ပုတိန်ကုန်း
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002007,Kun Tar,169384,Shan Ywar,ရှမ်းရွာ
