state_region,geo_location.geo_town,township,geo_location.geo_rural,geo_ward_vt_eho,geo_ward_vt_eho_label,population
Kayah,MMR002001,Loikaw,1,MMR002001701503,Daw Au Khu Ward,8653
Kayah,MMR002001,Loikaw,1,MMR002001701511,Daw Noe Ku Ward,2820
Kayah,MMR002001,Loikaw,1,MMR002001701510,Daw Tan Ma Ward,3961
Kayah,MMR002003,Hpruso,1,MMR002003701504,Dee Dar Ku Ward,585
Kayah,MMR002002,Demoso,1,MMR002002701501,Demoso Myo Ma Ward,5621
Kayah,MMR002001,Loikaw,1,MMR002001701506,Dhammar Yon Ward,952
Kayah,MMR002003,Hpruso,1,MMR002003701503,Htee Ku Ward,386
Kayah,MMR002003,Hpruso,1,MMR002003701502,Htee Ta Ye Ward,1759
Kayah,MMR002001,Loikaw,1,MMR002001701509,Law Da Ma Ward,5748
Kayah,MMR002001,Loikaw,1,MMR002001701504,Maing Lone Ward,5753
Kayah,MMR002001,Loikaw,1,MMR002001701505,Min Ga Lar Ward,3447
Kayah,MMR002001,Loikaw,1,MMR002001701513,Min Su Ward,5955
Kayah,MMR002006,Hpasawng,1,MMR002006701501,Myauk Paing Ward,1283
Kayah,MMR002007,Mese,1,MMR002007701501,Myauk Paing Ward,527
Kayah,MMR002001,Loikaw,1,MMR002001701502,Naung Yar (Kha Gway) Ward,1236
Kayah,MMR002001,Loikaw,1,MMR002001701501,Naung Yar(Ka Gyi) Ward,9370
Kayah,MMR002003,Hpruso,1,MMR002003701501,Nyaung Zin Ward,946
Kayah,MMR002005,Bawlake,1,MMR002005701502,Shan Paing Ward,3646
Kayah,MMR002001,Loikaw,1,MMR002001701512,Shan Su Ward,1307
Kayah,MMR002001,Loikaw,1,MMR002001701508,Shwe Taung Ward,1353
Kayah,MMR002006,Hpasawng,1,MMR002006701502,Taung Paing Ward,1865
Kayah,MMR002007,Mese,1,MMR002007701502,Taung Paing Ward,486
Kayah,MMR002001,Loikaw,1,MMR002001701507,Zay Paing Ward,804
Kayah,MMR002004,Shadaw,1,MMR002004701502,Zay Paing Ward,781
Kayin,MMR003001,Hpa-An,1,MMR003001701501,Tharyet Taw/Myaing Tha Zin/ Kyar Inn Ward,11142
Kayin,MMR003001,Hpa-An,1,MMR003001701502,Zay Tan Ward,8664
Kayin,MMR003001,Hpa-An,1,MMR003001701504,Zee Taw Ward,10058
Kayin,MMR003001,Hpa-An,1,MMR003001701505,Aung Nan Min Ga Lar Ward,11081
Kayin,MMR003001,Hpa-An,1,MMR003001701506,Pyi Htaung Su Ward,6841
Kayin,MMR003001,Hpa-An,1,MMR003001701508,Ya Da Nar Di Pa Ward,15015
Kayin,MMR003002,Hlaingbwe,1,MMR003002701502,(Kha Gway) Ward,2007
Kayin,MMR003004,Thandaunggyi,1,MMR003004701501,No (1) Ward,2683
Kayin,MMR003005,Myawaddy,1,MMR003005701502,No (2) Ward,9946
Kayin,MMR003005,Myawaddy,1,MMR003005701503,No (3) Ward,19654
Kayin,MMR003005,Myawaddy,1,MMR003005701504,No (4) Ward,41978
Kayin,MMR003005,Myawaddy,1,MMR003005701505,No (5) Ward,35719
Kayin,MMR003006,Kawkareik,1,MMR003006701502,Win Gyi Ward,3759
Kayin,MMR003006,Kawkareik,1,MMR003006701504,Ah Htet Taung Thu Su Ward,3411
